links,title,text,category,company,date
https://www.cnbctv18.com/auto/tata-motors-introduces-subscription-model-for-nexon-ev-6562241.htm,Tata Motors introduces subscription model for Nexon EV,"Tata Motors on Thursday said it has launched a subscription model for electric version of its compact SUV Nexon, making it available to customers at a fixed monthly rental.Designed to make electric vehicles (EVs) more accessible to a rapidly growing base of future-conscious citizens, the company is making available its flagship Nexon at an all-inclusive fixed rental starting at Rs 41,900 per month, Tata Motors said in a statement.
Customers can select the tenure of their subscription from a minimum period of 18 months, 24 and 36 months, it added.Designed to make electric vehicles (EVs) more accessible to a rapidly growing base of future-conscious citizens, the company is making available its flagship Nexon at an all-inclusive fixed rental starting at Rs 41,900 per month, Tata Motors said in a statement.
For 18 month tenure, a customer will have to pay Rs 47,900 monthly subscription fee, for 24 months Rs 44,900 and for 36 months Rs 41,900 per month.Designed to make electric vehicles (EVs) more accessible to a rapidly growing base of future-conscious citizens, the company is making available its flagship Nexon at an all-inclusive fixed rental starting at Rs 41,900 per month, Tata Motors said in a statement.
Tata Motors has tied up with leasing firm Orix Auto Infrastructure Services to offer the service in five major cities - Delhi/NCR, Mumbai, Pune, Hyderabad and Bengaluru - during the inaugural phase of the launch.Designed to make electric vehicles (EVs) more accessible to a rapidly growing base of future-conscious citizens, the company is making available its flagship Nexon at an all-inclusive fixed rental starting at Rs 41,900 per month, Tata Motors said in a statement.
""EVs are the future, and as the leader of this fast-growing segment, the company is committed to popularise their access and use in India,"" Tata Motors Passenger Vehicles Business Unit President Shailesh Chandra said.Designed to make electric vehicles (EVs) more accessible to a rapidly growing base of future-conscious citizens, the company is making available its flagship Nexon at an all-inclusive fixed rental starting at Rs 41,900 per month, Tata Motors said in a statement.
With this novel subscription model, the company is making it more convenient for interested users of EVs to experience their myriad benefits, he added.Designed to make electric vehicles (EVs) more accessible to a rapidly growing base of future-conscious citizens, the company is making available its flagship Nexon at an all-inclusive fixed rental starting at Rs 41,900 per month, Tata Motors said in a statement.
It is ideal for customers preferring usership over ownership in the rapidly growing era of shared economy, Chandra noted.Designed to make electric vehicles (EVs) more accessible to a rapidly growing base of future-conscious citizens, the company is making available its flagship Nexon at an all-inclusive fixed rental starting at Rs 41,900 per month, Tata Motors said in a statement.

             Special Offer: Subscribe to Moneycontrol PRO at ₹1 per day for the first year. Coupon code: PRO365. Offer available on desktop & android only. *T&C Apply
            Designed to make electric vehicles (EVs) more accessible to a rapidly growing base of future-conscious citizens, the company is making available its flagship Nexon at an all-inclusive fixed rental starting at Rs 41,900 per month, Tata Motors said in a statement.
",auto News,CNBCTV18,2020-08-06
https://www.cnbctv18.com/market/stocks/auto-stocks-rise-on-encouraging-july-auto-sales-numbers-6524861.htm,Auto stocks rise on encouraging July auto sales numbers; Tata Motors up 7%,"Shares of auto companies rose on Monday after they reported encouraging sales numbers for the month of July. The Nifty Auto index outperformed, rallying over 2 percent in intra-day deals but later pared some gains to end half a percent lower. In comparison, the Nifty50 index ended over 1.5 percent lower.CLSA in its brokerage report upgraded Among individual stocks, Tata Motors surged 7 percent in intraday deals and was the top gainer on the index. Motherson Sumi, TVS Motor, Ashok Leyland and Eicher Motors also ended the day in the green.CLSA in its brokerage report upgraded Maruti shares advanced as much as 2.76 percent during the day but later fell 1.5 percent. Bajaj Auto and Hero Moto also ended lower after opening higher in trade today.CLSA in its brokerage report upgraded The country's largest carmaker CLSA in its brokerage report upgraded Maruti Suzuki IndiaCLSA in its brokerage report upgraded  on Saturday reported a 1.3 percent increase in domestic passenger vehicle sales in July while that of the second-biggest maker Hyundai Motor India fell by just 2 percent, signalling a recovery in the sector hit hard by COVID-19. However, other manufacturers, Mahindra & Mahindra (M&M) and Toyota Kirloskar Motor (TKM) reported huge declines in their domestic sales during the month.CLSA in its brokerage report upgraded Maruti Suzuki India said its domestic sales in July stood at 1,01,307 units as against 1,00,006 units in July 2019. Rival Hyundai Motor India Ltd (HMIL) saw its domestic sales at 38,200 units last month as against 39,010 units in July 2019, down by 2 percent.CLSA in its brokerage report upgraded Meanwhile, M&M reported a 35 percent decline in domestic sales at 24,211 units last month compared to 37,474 units in July 2019.In the two-wheeler segment, Hero MotoCorp reported a 3.97 percent dip in sales to 5,14,509 units as compared to 5,35,810 units sold in July 2019.CLSA in its brokerage report upgraded 
             Special Offer: Subscribe to Moneycontrol PRO at ₹1 per day for the first year. Coupon code: PRO365. Offer available on desktop & android only. *T&C Apply
            CLSA in its brokerage report upgraded ",auto News,CNBCTV18,2020-08-03
https://www.cnbctv18.com/auto/tata-motors-says-not-selling-stake-in-domestic-car-business-6535131.htm,Tata Motors says not selling stake in domestic car business,"Automaker Tata Motors has denied reports that it’s planning to sell up to 49 percent stake in its domestic passenger vehicle business.Earlier, Tata Motors shares soared more than 8 percent on the BSE  after market hours on Friday, despite the company reporting the widening of its net loss to Rs 8,437.99 crore in the last quarter from Rs 3,698.34 crore in the corresponding period a year ago.

          The company, in a statement, said that a Earlier, Tata Motors shares soared more than 8 percent on the BSE  after market hours on Friday, despite the company reporting the widening of its net loss to Rs 8,437.99 crore in the last quarter from Rs 3,698.34 crore in the corresponding period a year ago.

          Times of India report todayEarlier, Tata Motors shares soared more than 8 percent on the BSE  after market hours on Friday, despite the company reporting the widening of its net loss to Rs 8,437.99 crore in the last quarter from Rs 3,698.34 crore in the corresponding period a year ago.

           that talked about the stake sale is ‘baseless and without any merit.’Earlier, Tata Motors shares soared more than 8 percent on the BSE  after market hours on Friday, despite the company reporting the widening of its net loss to Rs 8,437.99 crore in the last quarter from Rs 3,698.34 crore in the corresponding period a year ago.

          ""The report that you refer to is factually incorrect, highly speculative and misleading and we are taking it up with them,"" the automaker said in the statement.Earlier, Tata Motors shares soared more than 8 percent on the BSE  after market hours on Friday, despite the company reporting the widening of its net loss to Rs 8,437.99 crore in the last quarter from Rs 3,698.34 crore in the corresponding period a year ago.

          “As you are aware, in March 2020, TML (Tata Motors Limited) had announced the intent to subsidiarise its PV business… TML has conversations with various OEMs for identifying potential partnership opportunities…  We shall share our plans once they are finalised. Until such time as a policy, we do not respond to market speculations,” the statement informed.Earlier, Tata Motors shares soared more than 8 percent on the BSE  after market hours on Friday, despite the company reporting the widening of its net loss to Rs 8,437.99 crore in the last quarter from Rs 3,698.34 crore in the corresponding period a year ago.

          The Earlier, Tata Motors shares soared more than 8 percent on the BSE  after market hours on Friday, despite the company reporting the widening of its net loss to Rs 8,437.99 crore in the last quarter from Rs 3,698.34 crore in the corresponding period a year ago.

          ToIEarlier, Tata Motors shares soared more than 8 percent on the BSE  after market hours on Friday, despite the company reporting the widening of its net loss to Rs 8,437.99 crore in the last quarter from Rs 3,698.34 crore in the corresponding period a year ago.

           reported that the automaker has commenced the process of inducting a foreign partner in its passenger vehicle business in the country by transferring the unit to a wholly-owned subsidiary for Rs 9,417 crore.Earlier, Tata Motors shares soared more than 8 percent on the BSE  after market hours on Friday, despite the company reporting the widening of its net loss to Rs 8,437.99 crore in the last quarter from Rs 3,698.34 crore in the corresponding period a year ago.

          The report added that the company is in talks with several automakers, European and East Asian, to sell up to  49 percent stake in its passenger vehicle business.Earlier, Tata Motors shares soared more than 8 percent on the BSE  after market hours on Friday, despite the company reporting the widening of its net loss to Rs 8,437.99 crore in the last quarter from Rs 3,698.34 crore in the corresponding period a year ago.

          
             Special Offer: Subscribe to Moneycontrol PRO at ₹1 per day for the first year. Coupon code: PRO365. Offer available on desktop & android only. *T&C Apply
            Earlier, Tata Motors shares soared more than 8 percent on the BSE  after market hours on Friday, despite the company reporting the widening of its net loss to Rs 8,437.99 crore in the last quarter from Rs 3,698.34 crore in the corresponding period a year ago.

          ",auto News,CNBCTV18,2020-08-04
https://economictimes.indiatimes.com/industry/auto/cars-uvs/tata-motors-introduces-subscription-model-for-nexon-ev-starting-at-rs-41900-per-month/articleshow/77389285.cms,"Tata Motors introduces subscription model for Nexon EV, starting at Rs 41,900 per month","NEW DELHI:  Tata Motors  on Thursday said it has launched a subscription model for electric version of its compact SUV  Nexon , making it available to customers at a fixed  monthly rental .
 
 Designed to make  electric vehicles  (EVs) more accessible to a rapidly growing base of future-conscious citizens, the company is making available its flagship Nexon at an all-inclusive fixed rental starting at Rs 41,900 per month, Tata Motors said in a statement.
 
 Customers can select the tenure of their subscription from a minimum period of 18 months, 24 and 36 months, it added.
 
 For 18 month tenure, a customer will have to pay Rs 47,900 monthly subscription fee, for 24 months Rs 44,900 and for 36 months Rs 41,900 per month.
 
 Tata Motors has tied up with leasing firm  Orix Auto Infrastructure Services  to offer the service in five major cities - Delhi/NCR, Mumbai, Pune, Hyderabad and Bengaluru - during the inaugural phase of the launch.
 
 ""EVs are the future, and as the leader of this fast-growing segment, the company is committed to popularise their access and use in India,"" Tata Motors Passenger Vehicles Business Unit President Shailesh Chandra said.
 
 With this novel subscription model, the company is making it more convenient for interested users of EVs to experience their myriad benefits, he added.
 
 It is ideal for customers preferring usership over ownership in the rapidly growing era of shared economy, Chandra noted.
 
 The subscription model is customised for corporates who prefer to lease, individuals with frequent inter-city job transfers, and expatriates who stay for a fixed tenure, among others, Tata Motors said.
 
 ",,Economic_Times,2020-08-06
https://www.moneycontrol.com/news/technology/auto/tata-motors-and-mahindra-in-see-saw-battle-in-key-auto-segments-5679121.html,Tata Motors and Mahindra in see-saw battle in key auto segments,"Tata Motors and Mahindra & Mahindra have locked horns for supremacy in not just the car and SUV segment but the commercial vehicle segment as well. In July, the two Mumbai-based companies lost their long-held positions to each other, actual vehicle registration data provided by the Federation of Automobile Dealers Associations (FADA) show. Passenger vehicle segment Tata Motors displaced M&M in the passenger vehicle (car, SUV and van) segment to grab the third spot, behind Maruti Suzuki and Hyundai. M&M was pushed down to the fourth spot. Tata Motors saw 12,753 registrations for its PVs in July, resulting in a market share of 8.10 percent (6.07 percent in July 2019). In comparison, M&M saw 7,811 registrations and a share of 4.96 percent in July (8.47 percent in July 2019). Deliveries of the new model, Altroz, and the restyled range of Bharat Stage VI models such as Nexon and Tiago pushed volumes for Tata Motors. Speaking to analysts, Shailesh Chandra, President, Passenger Vehicles Business Unit, Tata Motors, said: “Production could only restart in a proper manner in June. And post that, we have steeply ramped up in July to service very strong demand”. M&M officials blamed a fire at one of its headlamp and tail-lamp suppliers for crippling production of some models, including the Marazzo and XUV300. Speaking to analysts Rajesh Jejurikar, M&M’s Additional Director & Executive Director,  Automotive and Farm Sectors, said: “We had to start prioritising models after the lockdown. Given the strong rural pull we had started prioritizing the Scorpio and Bolero. So some of our models haven't even got out yet — that's all pent-up (demand) and for Marazzo, XUV 300 and XUV 500.” Commercial vehicle segment But the commercial vehicle (CV) space paints a completely different picture. Mahindra snatched the top spot from Tata Motors in the CV segment in July, perhaps for the first time ever, according to FADA data. Tata Motors was the unchallenged leader in the CV segment for several years, mirroring the success of Maruti Suzuki’s dominance in the PV segment. M&M’s market share jumped to 46.29 percent in July (24.75 percent in July 2019) with registrations of 8,930 units. Tata Motors’ market share during the same month nearly halved to 21.03 percent (40.11 percent in July 2019) with registration of 4,058 units. With Mahindra claiming the top spot and Tata Motors pushed down to the second, Ashok Leyland continues in the third spot. “There is an overall increase in rural demand and that is leading to movement of goods and agriculture. So we are seeing a very positive demand for pickups. Small commercial vehicle (SCV) demand is picking up because of the need for last-mile mobility. There is a lot of demand for SCV ambulances and we are struggling to ramp up to requirements,” Jejurikar added. The commercial vehicle category has been even more severely hit than the passenger vehicle segment because of slow national economic momentum. Smaller CVs, which cater to last-mile distribution, are gathering speed but the larger, medium and heavy (M&HCV) truck and bus segment are yet to come out of the woods. “One sees higher demand for last-mile distribution, which is addressed by small commercial vehicles. In terms of demand contraction, it is maximum in medium and heavy commercial trucks as well as buses,” Girish Wagh, President, Commercial Vehicles Business Unit, Tata Motors, told analysts. ",,Moneycontrol,2020-08-11
https://www.moneycontrol.com/news/technology/auto/pv-business-to-get-cash-positive-by-fy23-tata-motors-to-retain-control-5628921.html,‘PV business to get cash positive by FY23’: Tata Motors to retain control,"Tata Motors  will retain control of the troubled passenger vehicle (PV) business unit even after finding a partner to jointly run the operations. The hiving off of the PV business will not reduce Tata Motors’ control over the business, a top company official said. The company has kick-started the process of hiving off the PV and electric vehicle (EV) business and placing it as a subsidiary, a process which could take a year to complete. Tata Motors has started talks with potential partners but has refused to share further details. Responding to a question from Moneycontrol, P B Balaji, Chief Financial Officer - Tata Motors said, “This (PV) is a business that we would want to run. We believe there is a long term potential in the business. The need for a partner is more from the point of view of accelerating the technology adoption and accelerating the product introduction roadmap. This is our business to run.” In March, the board of Tata Motors in-principle approved to hive off the PV business (including EV) by transferring relevant assets, intellectual properties and employees directly relatable to the PV business for it to be fully functional on a standalone basis through a slump sale. Though the spread of COVID-19 may have thrown a spanner in the works for Tata Motors, it is confident of completing the subsidiarisation process in less than a year. ""The board has approved the scheme for subsidiarisation and it will be filed with the NCLT in the coming weeks. We are expecting anywhere between 9-12 months for completing this process so it is a key priority for us in the coming months. We speak to a lot of OEMs and as and when we have something to share on that we will do it,” added Balaji. A move towards subsidiarisation of the PV business is the first step in securing strategic alliances that provides access to products, architectures, powertrains, new age technologies and capital. In simple terms this will unlock value for the company for the PV business unit which has been struggling in the face of strong competition. “The PV business will turn cash positive by FY23 and that will happen even without a partner that is the internal target we are working towards and we are confident of achieving that. Partnerships get us the momentum but that is not the base case,” added Balaji. ",,Moneycontrol,2020-08-01
https://www.moneycontrol.com/news/technology/auto/tata-motors-jlr-takes-covid-19-hit-with-413mn-pounds-loss-5630591.html,Tata Motors JLR takes COVID-19 hit with 413 mn pounds loss,"Tata Motors-owned Jaguar Land Rover (JLR) posted a pre-tax loss of 413 million pounds in the first quarter results for the 2020-21 fiscal year, amid significant impact on sales and profit due to the lockdown. In the three months until June 30, Britain's luxury carmaker said the UK market was particularly impacted by the pandemic with sales down 69.5 percent. However, it said that sales improved month-by-month within the quarter across all regions as economies re-opened, with June retails down 24.9 percent, highlighting a recovery in China and North America as “particularly encouraging”. “Jaguar Land Rover has reacted with resilience and agility to the extraordinary challenges faced in the first three months of the new fiscal year, adapting rapidly to the widespread macro-economic disruption and uncertainty facing our industry,” said Dr Ralf Speth, the outgoing CEO of JLR. “Through this unprecedented time, we have continued to bring outstanding new vehicles to market, electrifying our multi-award-winning range and building demand for the new Land Rover Defender, an icon reimagined for the digital age,"" he said. ""As the lockdowns ease, we will emerge from the pandemic with our most advanced product line-up yet, and with the financial and operating measures in place to return to long-term sustainable profit,” he said. The company said that about 98 percent of its retailers worldwide are now fully or partially open and all JLR plants have resumed production, with the exception of the Castle Bromwich facility in the West Midlands region of England, which will gradually restart from August 10. “All locations are operating with robust protocols and guidelines to ensure effective social distancing, hygiene and health monitoring, whilst still enabling production to increase in line with recovering demand,” JLR said. For the first three months of the 2020-21 fiscal year, revenue was 2.9 billion pounds in the quarter. The Chery Jaguar Land Rover Joint Venture in China achieved break-even profits in the quarter. Free cash flow was negative 1.5 billion pounds including a one-time working capital outflow of 1.1 billion pounds resulting from the plant shutdowns, which is about 500 million pounds better than previous guidance, the company said. It added that despite the significant impact of COVID-19, the company successfully completed 647 million pounds of new funding and ended the quarter with “solid liquidity” of 4.7 billion pounds, including 2.75 billion pounds of cash and short-term investments and a 1.9 billion pounds undrawn revolving credit facility. “The fundamental strengths of Jaguar Land Rover have been tested in 2020 and we will pass this test to succeed in the future. Our exciting pipeline of new, advanced products places us at the forefront of our industry,” added Speth, who will be succeeded by Thierry Bolloré as CEO next month. “We have a clear plan, a highly-skilled, creative team and unparalleled technical capabilities. I look forward to working with my successor Thierry Bolloré as Jaguar Land Rover focuses on its Destination Zero mission, and seeks to deliver the autonomous, connected, electric and shared experiences that our customers will love, for life with integrity,” said Speth, who will assume the role of non-executive vice-chairman of JLR. The carmaker part of the Tata Group said that sales of its New Land Rover Defender have started to ramp up in the quarter in the UK, Europe, North America, and some overseas markets, with sales beginning in China and other markets from July onwards. Plug-in hybrid and the recently-announced Hard Top commercial derivatives will be available later in the year. ",,Moneycontrol,2020-08-01
https://www.moneycontrol.com/news/technology/auto/boost-to-personal-mobility-covid-19-will-change-the-way-consumers-shop-says-tata-motors-chairman-n-chandrasekaran-5639551.html,"COVID-19 to change consumer behaviour tremendously, says Tata Motors Chairman N Chandrasekaran","In light of the deadly spread of COVID-19, health and safety features will become priority thereby changing the way consumers shop, forcing companies to look at new avenues to sell cars, N Chandrasekaran, chairman,  Tata Motors  said. Addressing shareholders in the 75 th  annual report, Chandrasekaran said, “As we look ahead over the next two years, we anticipate a tremendous deal of transformation stemming from COVID-19. Consumer behaviour will change in numerous ways, from demanding more integrated digital experiences to prioritising health and safety features across purchasing decisions.” Though an expensive alternative to public transport, personal mobility will become a more accepted way of travel in the future. This is already seen through an uptick in demand for small hatchbacks during June and July as reported by the country’s largest carmaker  Maruti Suzuki . “The move to ‘slow’ travel and personal (versus public and/or shared) transport may shape future demand for passenger vehicles. Greater scrutiny will be placed on building environmental sustainability and climate resilience into the very core of business models,” Chandrasekaran added. Tata Motors is pushing through a strategic plan that will see the passenger vehicle business including electric vehicle division placed under a separate entity. The company is trying to bring in a partner who can assist in getting future ready but has declined to cede control of the division. “The global auto industry has grappled with multiple issues during the year. On one hand, we saw greater clarity emerge on Brexit; yet on the other hand, mounting trade tensions, muted global growth and enhanced regulatory norms have fundamentally changed the contours of the business environment,” Chandrasekaran observed. The Indian auto industry faced an unprecedented year, marked by significant headwinds. Domestic auto sales declined by 18 percent in FY20, the lowest since the data series was introduced in 2001. Alongside a broad economic slowdown, regulatory changes—including changed axle load norms and the migration to BSVI emission standards—fuelled uncertainty for both consumers and suppliers. ",,Moneycontrol,2020-08-03
https://www.moneycontrol.com/news/technology/auto/tata-motors-seeks-shareholder-approval-on-salary-package-of-md-guenter-butschek-5641341.html,Tata Motors seeks shareholders’ nod to ratify MD and CEO Guenter Butschek’s salary for FY20,"Tata Motors is seeking shareholders’ approval to ratify the payment of minimum salary to its MD and CEO Guenter Butschek, a German national, for FY20 -- and a hike for FY21. According to the company, Butschek’s total remuneration for FY20 was Rs 19.27 crore. The Companies Act 2013 prescribes a certain limit for executive payment if a company has ‘inadequate profits’. Tata Motors suffered a loss of nearly Rs 7,500 crore (Rs 7,083 crore as per Section 198 of the Companies Act) in FY20. The excess of Rs 11.82 crore is what Tata Motors wants to ratify through a special resolution. “Pursuant to the provisions of Section 197, in respect of the payment of managerial remuneration in case of no profits or inadequacy of profits, the company may pay such remuneration over the ceiling limit, provided the members’ approval by way of a special resolution has been taken for payment of the minimum remuneration for a period not exceeding three years,” Tata Motors said in the FY19-20 annual report. The special resolution that Tata Motors is proposing also seeks to hike Butschek’s salary for FY21. Will shareholders’ approval be easy? For Tata Motors, history offers little solace. In 2014, shareholders had turned down the company’s pay plan for three of its senior executives. The company failed to secure the required 75 percent votes in a postal ballot to compensate the then Executive Director (Commercial Vehicles) Ravindra Pisharody, Executive Director (Quality) Satish Borwankar, and the legal heir of former Managing Director Karl Slym in excess of the limits for the year that ended in March 2014. Even in Butschek’s case, this is not the first time that the company is seeking such an approval. Tata Motors had sought a similar approval and won it at the time of his appointment in 2016 for three years. With that period ending, the company is forced to approach the shareholders again. Accodring to Shriram Subramaniam, Founder & MD, InGovern, India’s first proxy advisory firm, in 2014, there was a loss in Tata Motors India, but, as a group, the company was profitable. The Companies Act states that any Indian company that is making losses needs to seek shareholders' approval for remuneration of EDs. Hence, even this year, they have placed such a proposal, he said. Butschek’s performance and salary Barring FY19, Tata Motors posted a net loss each year since Butschek assumed office in February 2016. In fact, an auto analyst, who did not want to be named, said his report card on Butschek is “not good”. “The company had just one profitable year, it has not been able to shrug off non-core investments, it missed an opportunity to tie up with global majors, and did not fully recover from the losses in the M&HCV market share,” he explained. “Successes with products like Tiago helped, but no traction was seen with Harrier. I have seen no effect as raw material cost to sales in the standalone entity is up each year from FY16 to FY 20 -- from 67.9 percent to 74.2 percent,” he said. “Payment of remuneration to Butschek from February 15, 2016, to March 31, 2019, was well within the statutory limits approved by the members,” Tata Motors said in its annual report. The payment of minimum remuneration would require fresh members’ approval in the event of inadequacy of profits in the 4th and 5th year of Butschek’s tenure -- from February 15, 2019, to February 14, 2021. Considering that the company had adequate profits for FY19, the said members’ approval is required for the period April 1, 2019 to February 14, 2021,” Tata Motors further explained. “As per the company’s budget/ business plan for FY20 approved by the board in March 2019, the company was expected to have adequate profits for FY20 and therefore no resolution was passed in the previous AGM held in 2019,” Tata Motors stated. For FY21, Tata Motors wants to give Butschek a pay hike of 20 percent to Rs 23.11 crore (subject to achievement of targets). This will be his fifth and final year as director of Tata Motors. In comparison, Mahindra & Mahindra MD Pawan Goenka received Rs 10.03 crore as salary for 2019-20, and Maruti Suzuki MD Kenichi Ayukawa Rs 5.02 crore for 2018-19. As COVID-19 hit all automakers hard, the profitability of Tata Motors was affected by about Rs 500 crore and free cash flows by about Rs 2,000 crore during FY20. Butschek and Tata Motors Butschek’s appointment at Tata Motors came after two years of intense global search under former Tata Sons chairman Cyrus Mistry following the death of previous MD Karl Slym. Butschek became the third foreigner to head Tata Motors (after Carl-Peter Foster and Slym). Before joining Tata Motors, he was the chief operating officer at Airbus, where he spent 30 months. Before that, he worked at Daimler AG for around 25 years, leading functions such as production, industrialisation and procurement. The last role he held in Daimler was that of president and chief executive of Beijing Benz Automotive Co, a joint venture between Daimler AG and Beijing Automotive Industrial Holding in Beijing, China. ",,Moneycontrol,2020-08-04
https://www.moneycontrol.com/news/technology/auto/tata-motors-seeks-foreign-partner-for-passenger-vehicle-business-report-5641581.html,Tata Motors seeks foreign partner for passenger vehicle business: Report,"Tata   Motors  has begun working on its plan to induct a foreign partner into passenger vehicle business and might transfer the unit for Rs 9,417 crore. The group is in talks with several automakers, including European and East Asian companies, to sell as much as a 49 percent holding in its passenger vehicle business, according to a  report  by The Times of India. Moneycontrol could not independently verify the story. Tata Motors has, however, denied such reports issuing the following comment: ""All such published news about 'Tata Motors to sell up to 49% stake in PV Business’ and the names of potential partners/investors mentioned is incorrect and misleading."" The statement went on to add, ""In March 2020, TML had announced the intent to subsidiarise its PV business as the first step towards securing mutually beneficial strategic alliances that provide access to products, architectures, powertrains, new-age technologies and capital. Securing a mutually beneficial alliance is a priority. However, it is not an imperative for today but an opportunity to be secured for tomorrow. The imperative for today is to win sustainably by delivering market beating growth and positive free cash flows by delighting our customers with exciting products and exceptional service while continuing to drive a strong cost savings agenda .” As per the earlier report, Tata Motors' subsidiary TML Business Analytics Services will be renamed  Tata   Motors  Passenger Vehicles, and will issue fresh shares to  the parent company  towards the Rs 9,417 crore payment. Tata Motors held discussions with some Chinese automobile companies, including Geely, Changan, and Chery, which is a 50 percent partner in Jaguar Land Rover's (JLR) China venture, the report said. ",,Moneycontrol,2020-08-05
